scenario_name,algorithm,size,annealings,iterations,status,evaluation,exec_time
scenario3,twolocalrandom,10,15,40,solution_found,194.73000000000002,23.760626891627908
scenario3,twolocalrandom,8,1,50,solution_found,199.32000000000002,2.285744311287999
scenario1,qnn,10,10,60,solution_found,273.40979729533717,37.57720585539937
scenario3,qaoa,8,20,35,solution_found,435.7200000000001,31.25386158376932
scenario1,twolocalrandom,6,1,1,solution_found,223.2408163161549,0.2977464906871319
scenario1,realamprandom,8,5,5,solution_found,205.93613444321392,1.837407300248742
scenario3,realamprandom,8,1,5,solution_found,217.76999999999998,0.3258165009319782
scenario2,vqe,8,30,15,solution_found,252.12899034509132,24.611684763804078
scenario3,qnn,8,20,45,solution_found,254.23999999999998,35.164371309801936
scenario2,dj,6,15,1,solution_found,515.5980217104066,1.5239667315036058
scenario1,qaoa,10,15,35,solution_found,575.7583010644955,14.524431334808469
scenario2,realamprandom,10,15,1,solution_found,232.81020695737152,1.4726573266088963
scenario2,dj,10,15,30,solution_found,576.7086950906947,29.410581408068538
scenario3,dj,6,1,1,solution_found,486.62,0.6748138219118118
scenario1,qft,8,15,15,solution_found,202.5217389239646,14.162266297265887
scenario1,qft,8,30,5,solution_found,201.56912915315988,10.390991799533367
scenario1,vqe,10,15,5,solution_found,208.0815512302401,5.506366416811943
scenario1,realamprandom,8,5,35,solution_found,200.64884361370642,10.748689832165837
scenario2,vqe,10,10,15,solution_found,250.31666391936886,8.75301824696362
scenario3,qaoa,8,25,1,solution_found,464.27000000000004,1.9806281197816133
scenario1,qaoa,8,15,30,solution_found,575.0243447460584,12.352472862228751
scenario3,realamprandom,6,15,45,solution_found,194.9,24.670510664582253
scenario1,realamprandom,6,20,20,solution_found,200.72028825837236,23.190495127812028
scenario3,vqe,6,20,45,solution_found,194.7,33.45667614787817
scenario3,twolocalrandom,6,1,10,solution_found,205.36,0.5537189599126577
scenario3,qnn,8,1,50,solution_found,264.47,2.1948727406561375
scenario2,qft,8,1,30,solution_found,245.08660027637168,2.1169526986777782
scenario3,dj,10,1,55,solution_found,381.68999999999994,3.1198919396847486
scenario1,vqe,6,30,35,solution_found,200.68399584226276,60.8678050711751
scenario2,qaoa,6,15,35,solution_found,670.8254473843707,31.293795723468065
scenario2,qft,8,1,20,solution_found,243.86292996197076,1.414746819064021
scenario1,qnn,8,25,55,solution_found,273.8387449614936,81.61014842428267
scenario2,qaoa,6,25,60,solution_found,674.1809009125905,83.02639169432223
scenario3,realamprandom,6,20,55,solution_found,194.49,40.04624791443348
scenario3,qnn,8,25,5,solution_found,264.77,5.57590970210731
scenario1,realamprandom,8,5,50,solution_found,200.70962187953563,15.769411886110902
scenario3,twolocalrandom,10,25,5,solution_found,207.93,5.590809743851423
scenario3,vqe,8,5,20,solution_found,197.67000000000002,4.103213936090469
scenario1,qft,6,10,10,solution_found,204.7625371439908,6.43643725477159
scenario3,twolocalrandom,8,30,10,solution_found,202.53,12.114935332909226
scenario2,dj,6,20,20,solution_found,573.4441649003429,23.065330915153027
scenario1,twolocalrandom,10,5,1,solution_found,211.17146840949107,0.7285845335572958
scenario3,vqe,10,10,50,solution_found,195.0,20.37123116478324
scenario3,qaoa,8,1,50,solution_found,457.52,2.4536960516124964
scenario1,twolocalrandom,6,10,55,solution_found,200.08111428618432,31.81312769651413
scenario1,realamprandom,6,1,10,solution_found,204.43738493776266,0.7331303339451551
scenario1,qaoa,8,15,15,solution_found,575.5100703037712,6.294747143983841
scenario1,qnn,10,5,10,solution_found,279.2764044074586,3.5407212115824223
scenario2,vqe,6,10,10,solution_found,241.52119336259156,5.794013356789947
scenario1,vqe,8,15,55,solution_found,200.3905376562044,48.2209638915956
scenario2,dj,10,10,35,solution_found,576.4960840121872,22.765444200485945
scenario2,qnn,10,10,15,solution_found,362.19862302694474,8.96183643490076
scenario1,qaoa,10,10,5,solution_found,580.9774631232235,1.6341759860515594
scenario2,vqe,8,30,50,solution_found,254.05462358768364,79.32069262675941
scenario3,qft,10,20,40,solution_found,194.47,31.93026428297162
scenario2,dj,6,10,5,solution_found,552.5912622846033,3.3904207833111286
scenario2,qnn,6,15,35,solution_found,363.9155661796395,28.3648126963526
scenario2,vqe,6,15,40,solution_found,253.12967377535225,31.649238098412752
scenario2,vqe,8,30,45,solution_found,253.78335773268046,71.56135529838502
scenario3,realamprandom,6,25,55,solution_found,194.87,49.83904446288943
scenario2,dj,6,10,35,solution_found,575.5735282224589,21.123148676007986
scenario1,twolocalrandom,8,15,55,solution_found,200.42807925731412,50.26200705580413
scenario2,qnn,6,30,35,solution_found,365.59794217448666,55.72121896408498
scenario2,qnn,10,15,50,solution_found,365.5247968027635,42.0089173335582
scenario2,vqe,6,30,40,solution_found,253.8035541056756,63.366195023059845
scenario1,vqe,10,25,10,solution_found,204.31489860359872,16.129228364676237
scenario3,realamprandom,8,10,45,solution_found,195.57,17.588385520502925
scenario1,qaoa,6,1,35,solution_found,588.2536355683014,1.022758960723877
scenario3,qaoa,6,15,25,solution_found,439.07000000000005,16.080779157578945
scenario3,qaoa,10,5,45,solution_found,433.52,10.733820656314492
scenario2,qft,8,10,10,solution_found,247.50131402413075,6.244864584878087
